'name';'short_name';'url_logo';'volume';'algoritm';'generation';'twitter id';'site_url';'date'
'Bitcoin';'BTC';'https://www.cryptocompare.com/media/19633/btc.png';21000000;'SHA256';'PoW';'https://twitter.com/BTCTN';'https://www.bitcoin.com/';03.01.09
'Ethereum';'ETH';'https://www.cryptocompare.com/media/20646/eth_logo.png';97130858,3;'Ethash';'PoW';'https://twitter.com/ethereumproject';'https://www.ethereum.org/';30.07.15
'Ripple';'XRP';'https://www.cryptocompare.com/media/19972/ripple.png';38305873865;'';'';'https://twitter.com/Ripple';'https://ripple.com/';02.02.13
'Bitcoin Cash';'BCH';'https://www.cryptocompare.com/media/1383919/bch.jpg';21000000;'SHA256';'PoW';'';'https://www.bitcoincash.org/';01.08.17
'Cardano';'ADA';'https://www.cryptocompare.com/media/12318177/ada.png';45000000000;'Ouroboros';'PoS';'https://twitter.com/cardanocom';'https://www.cardanohub.org/';01.10.17
'Litecoin';'LTC';'https://www.cryptocompare.com/media/19782/litecoin-logo.png';84000000;'Scrypt';'PoW';'https://twitter.com/litecoin';'https://litecoin.com/';13.10.11
'NEM';'XEM';'https://www.cryptocompare.com/media/20490/xem.png';8999999999;;'PoI';'https://twitter.com/NEMofficial';'http://www.nem.io/';31.03.15
'EOS';'EOS';'https://www.cryptocompare.com/media/1383652/eos_1.png';1000000000;'DPoS';'DPoS';'https://twitter.com/eos_io';'https://eos.io/';26.06.17
'NEO';'NEO';'https://www.cryptocompare.com/media/1383858/neo.jpg';100000000;'';'';'https://twitter.com/neo_blockchain';'https://neo.org/';09.09.16
'Stellar';'XLM';'https://www.cryptocompare.com/media/20696/str.png';100804167793;'';'';'https://twitter.com/stellarorg';'https://www.stellar.org/';19.07.13
'IOTA';'MIOTA';'https://www.cryptocompare.com/media/1383540/iota_logo.png';2779530283;;'Tangle';'https://twitter.com/iotatoken';'https://iota.org/';17.07.16
'Dash';'DASH';'https://www.cryptocompare.com/media/20626/imageedit_27_4355944719.png';22000000;'X11';'PoW/PoS';'https://twitter.com/Dashpay';'http://dash.org/';18.01.14
'Monero';'XMR';'https://www.cryptocompare.com/media/19969/xmr.png';15630962,1;'CryptoNight';'PoW';'https://twitter.com/monerocurrency';'http://getmonero.org/';02.06.14
'TRON';'TRX';'https://www.cryptocompare.com/media/12318089/trx.png';100000000000;'';'';'https://twitter.com/tronfoundation';'https://tron.network/en.html';26.09.17
'Bitcoin Gold';'BTG';'https://www.cryptocompare.com/media/12318377/btg.png';21000000;'Equihash';'PoW';'https://twitter.com/bitcoingold';'https://bitcoingold.org/';25.10.17
'ICON';'ICX';'https://www.cryptocompare.com/media/12318192/icx.png';400230000;;'LFT';'https://twitter.com/helloiconworld';'https://www.icon.foundation/en/';24.10.17
